State,City,Zone,Category,Budget,Age Group,Ideal Travel Months,Gender,Destination
Telangana,Warangal,South,Religious,Medium,60-100,May-August,Both,Thousand Pillar Temple
Telangana,Warangal,South,Nature,Medium,18-60,January-April,Both,Pakhal Lake
Telangana,Warangal,South,Wildlife,Low,18-60,September-December,Both,Eturnagaram Wildlife Sanctuary
Telangana,Warangal,South,Monument,Medium,18-60,January-April,Both,Bhadrakali Temple
Telangana,Nizamabad,South,Historical,Medium,18-60,September-December,Both,Nizamabad Fort
Telangana,Nizamabad,South,Religious,Medium,60-100,May-August,Both,Sarangpur Hanuman Temple
Telangana,Nizamabad,South,Nature,Medium,18-60,January-April,Both,Ali Sagar Reservoir
Telangana,Nizamabad,South,Wildlife,Low,18-60,September-December,Both,Pocharam Wildlife Sanctuary
Telangana,Nizamabad,South,Festival,Medium,18-60,January-April,Both,Bathukamma Festival
Telangana,Khammam,South,Historical,Medium,18-60,September-December,Both,Khammam Fort
Telangana,Khammam,South,Nature,Medium,18-60,January-April,Both,Kinnerasani Wildlife Sanctuary
Telangana,Khammam,South,Religious,Medium,60-100,May-August,Both,Sri Lakshmi Narasimha Swamy Temple
Telangana,Khammam,South,Waterfall,Medium,18-60,September-December,Both,Bogatha Waterfall
Telangana,Khammam,South,Festival,Medium,18-60,January-April,Both,Sammakka Saralamma Jatara
Telangana,Adilabad,South,Nature,Medium,18-60,September-December,Both,Kawal Wildlife Sanctuary
Telangana,Adilabad,South,Waterfall,Medium,18-60,January-April,Both,Kuntala Waterfalls
Telangana,Adilabad,South,Historical,Medium,18-60,May-August,Both,Basar Saraswathi Temple
Telangana,Adilabad,South,Religious,Medium,60-100,September-December,Both,Gnana Saraswati Temple
Telangana,Adilabad,South,Monument,Medium,18-60,January-April,Both,Jainath Temple
Chandigarh,Chandigarh,North,Garden,Low,18-60,January-April,Both,Rock Garden
Chandigarh,Chandigarh,North,Lake,Low,18-60,September-December,Both,Sukhna Lake
Chandigarh,Chandigarh,North,Zoo,Medium,Teenagers,May-August,Both,Chhatbir Zoo
Chandigarh,Chandigarh,North,Museum,Low,18-60,January-April,Both,Government Museum and Art Gallery
Chandigarh,Chandigarh,North,Shopping,Medium,18-60,September-December,Both,Elante Mall
Chandigarh,Chandigarh,North,Historical,Medium,18-60,January-April,Both,Le Corbusier Centre
Chandigarh,Chandigarh,North,Religious,Low,60-100,May-August,Both,ISKCON Temple Chandigarh
Chandigarh,Chandigarh,North,Nature,Low,18-60,September-December,Both,Pinjore Gardens
Chandigarh,Chandigarh,North,Monument,Medium,18-60,January-April,Both,Open Hand Monument
Chandigarh,Chandigarh,North,Food,Low,18-60,May-August,Both,Sector 17 Market
